Datetime,Tweet Id,Text,Username,IP,Reply,Retweet,Like,Device
2022-08-04 23:52:56+00:00,1555341044732293120,Mypertamina daripada ga guna mending bisa nunjukin dimana ada bensin di timika cuk,OHSFransCartenz,https://twitter.com/OHSFransCartenz/status/1555341044732293120,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:45:45+00:00,1555339236983046146,@loopythereal @MyPertaminaID https://t.co/seyCyki9cM,tarto888,https://twitter.com/tarto888/status/1555339236983046146,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:44:55+00:00,1555339025556582400,@loopythereal @MyPertaminaID Fatmawati 31 punya pertamina malah..di jagakrsa juga sama..boncos saya bang mobil buat online ngisinya pertamax..😭,tarto888,https://twitter.com/tarto888/status/1555339025556582400,1,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:36:04+00:00,1555336799450370048,"@illaundaitti Hai, Sobat Ferry Bachtiar. Mohon maaf atas ketidaknyamanan yang dialami. Mengenai hal tersebut. QR Code melalui aplikasi My Pertamina sobat dapat cek pada melalui fitur ""Subsidi Tepat"".  Terima kasih. -Salsa",pertamina135,https://twitter.com/pertamina135/status/1555336799450370048,2,0,0,"<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Socio Enterprise</a>"
2022-08-04 23:15:53+00:00,1555331721909809152,"Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina beneran gampang loh guys, yuk mari simak!
https://t.co/o4cl5vaoKr",zeano00,https://twitter.com/zeano00/status/1555331721909809152,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:15:00+00:00,1555331496725995520,Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina. Pastinya sangat mudah nih👍 https://t.co/0pA1AqdDlw,mld_cake,https://twitter.com/mld_cake/status/1555331496725995520,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:14:23+00:00,1555331345135546368,"Yuk cari tahu biar paham nih Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina.
https://t.co/YQ155SPlM9",dailynut_,https://twitter.com/dailynut_/status/1555331345135546368,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:13:36+00:00,1555331145075605504,"Wah begini nih Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina. Yuk simak infonya
https://t.co/9cBRbSMn3I",imfreendy,https://twitter.com/imfreendy/status/1555331145075605504,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:12:46+00:00,1555330935037382656,"Nah guys harus paham ya Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina.
https://t.co/p5dkAARgoY",satria_xbima,https://twitter.com/satria_xbima/status/1555330935037382656,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:12:12+00:00,1555330794322767879,"Berikut ini Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina. Untuk lebih jelasnya silahkan simak infonya
https://t.co/TS1acfwfx8",thrichgirl,https://twitter.com/thrichgirl/status/1555330794322767879,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:11:02+00:00,1555330499517698048,"Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina. Woww sangat mudah dipahami nih
https://t.co/v85NSOqCze",daisysst,https://twitter.com/daisysst/status/1555330499517698048,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:09:48+00:00,1555330190787502081,"Wah ternyata begini Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina. 
Mari disimak
https://t.co/ZW75CNmj09",yutaaajaaa,https://twitter.com/yutaaajaaa/status/1555330190787502081,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:08:44+00:00,1555329922951835648,"Jadi begini Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina nih guys mudah banget kan
https://t.co/tTTNz6FifW",haechanleee_127,https://twitter.com/haechanleee_127/status/1555329922951835648,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:08:35+00:00,1555329884905320448,"@pertamina135 Oh ya, Kalau QR Code yang melalui web sudah saya dapatkan. Tapi QR Code melalui aplikasi My Pertamina tidak bisa saya dapatkan. Katanya password salah...",illaundaitti,https://twitter.com/illaundaitti/status/1555329884905320448,1,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:07:51+00:00,1555329698883743745,"Yuk disimak berikut Cara Daftar dan Transaksi BBM Subsidi Tepat MyPertamina
https://t.co/hbhP3IicIG",xiaopaoOO,https://twitter.com/xiaopaoOO/status/1555329698883743745,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 23:02:39+00:00,1555328388314775552,"@pertamina135 Halo sobat Adi.... Apakah QR Code pada aplikasi ""My Pertamina"" yang didownload melalui google play store, belum bisa diklaim ya? Soalnya selalu muncul notifikasi ""Password Salah"".",illaundaitti,https://twitter.com/illaundaitti/status/1555328388314775552,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 22:50:45+00:00,1555325396190580736,@CNNIndonesia Bangsat @MyPertaminaID @pertamina kalian bisnis aplikasi diatas kesulitan rakyat!,cak_an6,https://twitter.com/cak_an6/status/1555325396190580736,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-08-04 22:48:57+00:00,1555324943423791104,"Syarat dan Cara Daftar MyPertamina, Siapkan Foto Kendaraan-Pelat Nomor https://t.co/vCMjQ14yFp",Zyanpatra,https://twitter.com/Zyanpatra/status/1555324943423791104,0,0,0,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"
